topic,rank,word,weight
0,1,work,3.433675652583302
0,2,host,0.3726865498926372
0,3,acrobat,0.3249176897010119
0,4,exchange,0.27571786468406617
0,5,subscription,0.2013927552869015
0,6,message,0.15952200113708617
0,7,mac,0.15517143179965842
0,8,plan,0.15463749261103196
0,9,search,0.1490245114826
0,10,system,0.13314456561188598
1,1,use,3.07847261362305
1,2,git,0.2223163958739408
1,3,need,0.18100688706031107
1,4,run,0.15098468088854164
1,5,device,0.14483330817204063
1,6,file,0.1444423401291319
1,7,acrobat,0.13875566608260356
1,8,download,0.13220106527012146
1,9,mac,0.13191946916295458
1,10,service,0.12705730260357412
2,1,collaboration,3.1447824579240105
2,2,make,0.1803360112188215
2,3,tool,0.07666654417082568
2,4,acrobat,0.051326121643873436
2,5,share,0.05070524646518734
2,6,team,0.03806955324081498
2,7,plan,0.03589446332232399
2,8,bot,0.031749491469934624
2,9,group,0.020663179022984878
2,10,information,0.012289391185917917
3,1,account,2.7983093913322366
3,2,delete,0.9658659123516177
3,3,find,0.47706943628327086
3,4,user,0.3312276750424692
3,5,data,0.2928738032591713
3,6,issue,0.18485125784555195
3,7,disable,0.16974795051315356
3,8,need,0.1608577863822422
3,9,pay,0.14639841122121475
3,10,bot,0.1361731342417876
4,1,object,2.8349057524789334
4,2,name,0.24075580228648555
4,3,domain,0.11574445316118655
4,4,add,0.11170672322182551
4,5,game,0.0134259234029108
4,6,provide,0.011052360364125104
4,7,email,0.010981198533324776
4,8,find,0.010894483573846479
4,9,deployment,0.00995903134948573
4,10,bot,0.009513309940112505
